source_text,target_text
context: people do many things to alleviate boredom.  if you can't get out of the house you might decide to do what?  options: 1: play cards 2: skateboard 3: meet interesting people 4: listen to music 5: go to a concert  explanation: . listen to music People do many things to alleviate boredom,listen to music
context: what could you be a few hours after you finish cashing in due to your cash?  options: 1: happy 2: receiving money 3: getting paid 4: spending money 5: selling out  explanation: feels relaxed and happy,happy
context: what might a couple have a lot of when they are deciding on stopping being married to each other?  options: 1: pleasure 2: detachment 3: exercise 4: bankruptcy 5: fights  explanation: couple have a lot of stopping of their fights,fights
"context: the forest experienced a cold winter, where is it located?  options: 1: earth 2: south america 3: amazon basin 4: temperate zone 5: national park  explanation: The forest experienced a cold winter temperate zone",temperate zone
context: what may i place the telephone on?  options: 1: bar 2: friend's house 3: desktop 4: party 5: office  explanation: Desktops usually have phones,desktop
context: what language type is someone from iran likely to use?  options: 1: books 2: dard 3: sky 4: closed room 5: television  explanation: dard language type is someone,dard
"context: john went to a party that lasted all night.  because of this, he didn't have time for what?  options: 1: meeting 2: blowing off steam 3: stay home 4: partying hard 5: studying  explanation: studying party that lasted all night",studying
context: when someone is physically competing what does their body do?  options: 1: tension 2: perform better 3: releases heat 4: winning or losing 5: sweat  explanation: sweat someone is physically competing what does their body,sweat
context: printing on a printer can get expensive because it does what?  options: 1: explode 2: use paper 3: store information 4: queue 5: noise  explanation: we use paper to print,use paper
context: what will god never do according to religion?  options: 1: anything 2: judge people 3: work miracles 4: judge men 5: everywhere  explanation: judge people will god never do according to religion,judge people
context: one of the potential hazards of attending school is what?  options: 1: cooties 2: get smart 3: boredom 4: colds and flu 5: taking tests  explanation: Colds and flu's are unpredictable.,colds and flu
"context: where could you find a bureau as well as many politicians?  options: 1: each city 2: office building 3: a zoo 4: french government 5: washington dc  explanation: Washington, D.- Wikipedia",washington dc
"context: for some reason she was devoid of regular emotions, buying products was the only way she could feel what?  options: 1: pleasure 2: owning 3: debt 4: spending money 5: smart  explanation: Only pleasure is a feeling",pleasure
context: where are horses judged on appearance?  options: 1: race track 2: fair 3: raised by humans 4: in a field 5: countryside  explanation: fairly horses only for jhagged,fair
context: while knitting you can do what using a radio?  options: 1: listen to music 2: watch television 3: making blankets 4: eat 5: watching tv  explanation: Music - Wikipedia,listen to music
"context: the man flew his airplane over the city and saw pollution visibly in the sky, what was polluted?  options: 1: forest 2: street 3: air 4: caused by humans 5: car show  explanation: air pollution is only visible in sky",air
context: what is a very unlikely side effect of becoming inebriated?  options: 1: fights 2: drunkenness 3: staggering 4: puke 5: paralysis  explanation: very unlikely side effect paralysis,paralysis
"context: what are people likely to want to do with their friends?  options: 1: own land 2: own home 3: talk to each other 4: believe in god 5: spend time  explanation: These days, many people spend time",spend time
context: what is the likely result of buying products in excess?  options: 1: running out of money 2: spending money 3: poverty 4: comparison shopping 5: overstocking  explanation: overstocking means excess product,overstocking
context: where would you put a glass after drinking from it?  options: 1: ocean 2: water cooler 3: cabinet 4: dishwasher 5: dining room  explanation: GLASS WAS DISHWASHER,dishwasher
context: where would you buy food?  options: 1: freezer 2: store 3: home 4: hatred 5: kitchen  explanation: store buy food,store
"context: there was more than one bum asking for change or a ticket, it was the cheapest way to travel so it was no surprise sight at the what?  options: 1: train station 2: beach 3: bus depot 4: bridge 5: stumblebum  explanation: bus depot travel so it was no surprise sight",bus depot
context: where can you buy jeans at one of may indoor merchants?  options: 1: gap 2: shopping mall 3: bedroom 4: laundromat 5: bathroom  explanation: Shopping mall,shopping mall
context: what do you write letter in in america?  options: 1: syllable 2: post office 3: envelope 4: english alphabet 5: word  explanation: English alphabet - Wikipedia,english alphabet
context: joe owned back taxes as well as what other type of taxes?  options: 1: anterior 2: front 3: main 4: front 5: current  explanation: Direct current - Wikipedia,current
"context: of all the sports, billy enjoys football, but what does his concerned mother think of the sport?  options: 1: very entertaining 2: fun 3: slow 4: competitive 5: violent  explanation: violent very entertaining",violent
context: sally was afraid of danger and always double checked what?  options: 1: fight enemy 2: secure 3: being safe 4: safety 5: vicinity  explanation: safety Sally was afraid of danger and always double checked,safety
"context: people are very much like the animals, but one thing has secured or dominance over the planet.  we're better at doing what?  options: 1: eat eggs 2: make tools 3: eat dosa 4: talk to each other 5: smoke pot  explanation: People are very much like the animals make tools",make tools
"context: while people just throw coins down them now, what originally had a pail to be lowered for it's intended use?  options: 1: garage 2: utility room 3: slide 4: wishing well 5: garden  explanation: Wishing well - Wikipedia",wishing well
"context: joe was thrown from his boat into the water.  the water was cold because it was the middle of winter and he cried out to his crew for help.  they couldn't hear him over the sound of the what?  options: 1: surface of earth 2: teardrops 3: snowflake 4: typhoon 5: motor  explanation: Hurricanes, typhoons and cyclones",typhoon
context: what do you need energy to do in gym class?  options: 1: work 2: tacos 3: mass 4: play sports 5: wrestle  explanation: we coach the fundamentals of sports,play sports
context: sarah dropped the marble because she wanted to do what?  options: 1: game 2: pouch 3: home 4: store 5: jar  explanation: she wants game,game
"context: we are all human, and we all what?  options: 1: write 2: eat cake 3: smile 4: think critically 5: die  explanation: humans are die in one day.",die
context: what leads to an early death?  options: 1: poisonous gas 2: homicide 3: cinder 4: nuclear weapons 5: cyanide  explanation: type of suicide,homicide
context: where do you head to travel to a star?  options: 1: night sky 2: galaxy 3: outer space 4: hollywood 5: eat cake  explanation: head to travel is outer space,outer space
"context: the player lifted his cornet and walked in rhythm, what was the player a member of?  options: 1: museum 2: high school band 3: marching band 4: orchestra 5: band  explanation: marching is only in ryhthm",marching band
context: where does one store fabric in their own home?  options: 1: sewing room 2: clothing store 3: tailor shop 4: clothes store 5: cotton mill  explanation: swwing room is the one store fabric,sewing room
context: a traveler laments the fact that mass transit is limited in his city when his groceries get soaked by the rain as he waits where?  options: 1: bus stop 2: library 3: motel 4: airport 5: subway  explanation: bus stop is a designated place,bus stop
"context: the person was in physical distress, where should he go?  options: 1: synagogue 2: for help 3: hospital 4: bus stop 5: building  explanation: take care in the hospital",hospital
"context: if you partied all night you could find yourself already what, even when just beginning work?  options: 1: getting tired 2: working 3: procrastination 4: jumping 5: sitting down  explanation: not getting sleep at night gets one tired",getting tired
"context: the cat carefully navigated the area, they do everything they can to avoid what?  options: 1: get wet 2: eat vegetables 3: falling 4: wool sweater 5: sharp claws  explanation: if the cat gets expose they would be wet",get wet
context: what is someone usually doing if someone else is talking to him or her?  options: 1: listening 2: language 3: looking at eyes 4: planning the perfect murder 5: voice  explanation: Listening Skills | SkillsYouNeed,listening
context: what do you use to carry your briefcase?  options: 1: office building 2: school 3: courtroom 4: airport 5: hand  explanation: hand part of the body,hand
"context: he picked up his pace to a run, he wanted to do what?  options: 1: learn to walk 2: frightened 3: get away from 4: exercise 5: go faster  explanation: Fast.com: Internet Speed Test",go faster
context: what would a person do if they do not have any friends?  options: 1: talk to people 2: try again 3: fall asleep 4: stand alone 5: thank god  explanation: system a stand-alone word processor,stand alone
"context: as a result of dying, what happens to organic material?  options: 1: change of color 2: stop breathing 3: wake up 4: death and decay 5: getting cold  explanation: Death and Decay - Hearthstone Wiki",death and decay
context: what does everyone have in relation to other people?  options: 1: feelings 2: food 3: unique personality 4: different standards 5: values  explanation: Talking About Your Feelings,feelings
"context: where can you buy a clock, clothing and wrenches?  options: 1: counter 2: train station 3: school room 4: desk 5: department store  explanation: department store clothing and wrenches",department store
"context: what do you do when you're in a new place and want to see new things?  options: 1: interesting 2: look around 3: take pictures 4: change of surroundings 5: new experience  explanation: Look around, look around, look around",look around
context: what is someone doing if he or she is sitting quietly and his or her eyes are moving?  options: 1: reading 2: meditate 3: fall asleep 4: bunk 5: think  explanation: Reading is the complex cognitive process,reading
context: where can i find a stapler in many places?  options: 1: desk drawer 2: office building 3: manual 4: office supply store 5: desktop  explanation: ffice Building / DREAM + Nicolas,office building
"context: a man takes a seat at a museum outside of barcelona, where is he likely?  options: 1: in cinema 2: martorell 3: falling down 4: show 5: airplane  explanation: A man can take a seat in martorell",martorell
context: where would you find a toy soldier that is being played with?  options: 1: toy box 2: movies 3: child's hand 4: toybos 5: child park  explanation: Child Hand Images,child's hand
context: where are you when you're about to use your plane ticket?  options: 1: pocket 2: terrorists hands 3: airport 4: sea ship 5: briefcase  explanation: airport is an aerodrome with extended,airport
"context: flowers make a good center focal point, just one of many arrangements that look good on a what?  options: 1: market 2: table 3: countryside 4: anthology 5: vase  explanation: Table | Components | BootstrapVue",table
context: how can a human cross a river and not mess up their hair?  options: 1: wisconsin 2: waterfall 3: hatred 4: bridge 5: valley  explanation: Contract bridge - Wikipedia,bridge
context: batman bought beer.  there were no bottles available.  he had to settle for what?.  options: 1: shelf 2: soccer game 3: keg 4: can 5: refrigerator  explanation: If not a bottle only option is can,can
context: you can find a monkey in what west african region on the gulf of guinea  options: 1: south american country 2: rain forest 3: pay debts 4: works 5: nigeria  explanation: nigeria can find a monkey in what West African region,nigeria
context: killing people should not cause what emotion?  options: 1: vengeance 2: going to prison 3: joy 4: afraid 5: terrible  explanation: joy cause what emotion,joy
"context: more people should lower the guard and just have fun, we don't got long just what?  options: 1: enjoy living 2: happy 3: enjoyable 4: get laid 5: do enjoy  explanation: enjoy living More people should lower the guard and just have fun, we don't got long just what",enjoy living
context: what would use a musical instrument?  options: 1: guitar 2: music room 3: orchestra 4: case 5: movie  explanation: Music Orchestra in Coimbatore,orchestra
"context: she was in an affair, what did that end upon discovery by her husband?  options: 1: relationship 2: marriage 3: fidelity 4: love 5: divorce  explanation: called matrimony or wedlock",marriage
context: what is the most famous constellation out of earth?  options: 1: one moon 2: milky way 3: god's creation 4: stars 5: universe  explanation: milky way god's creation,milky way
context: what is a place that is far away from your house and where you could consume beer?  options: 1: refrigerator 2: friend's house 3: keg 4: neighbor's house 5: kitchen  explanation: Residential Living | Friends House,friend's house
context: sitting down quickly after eating beans could lead to what?  options: 1: flatulence 2: happiness 3: laziness 4: fall asleep 5: comfort  explanation: flatulence is kind of stoke,flatulence
context: james was meeting a friend.  they had planed a slow day. they didn't want to do much.  they just wanted what?  options: 1: relaxation 2: panic 3: alarm 4: joy 5: cheer  explanation: RELAXATION IS MEETING A FRIEND,relaxation
"context: the car's steering seem quite loose, but he still considered purchasing it because he needed something small and what?  options: 1: sturdy 2: faithful 3: bound 4: compact 5: packaged  explanation: compact car's steering seem quite loose, but he still considered purchasing it because he needed something small",compact
context: it's friday night and alice puts off going to bed because she plans on doing what saturday?  options: 1: hatred 2: sleeping in 3: rest 4: making love 5: insomnia  explanation: Friday night and Alice puts off because sleeping in,sleeping in
"context: his phone was dead and they couldn't find the expressway, he opened up the glove compartment and handed his passenger the what to navigate?  options: 1: eastern united states 2: michigan 3: map 4: choppers 5: american city  explanation: Google Map Maker has closed",map
context: what would someone use a personal key for?  options: 1: car stand 2: at hotel 3: own home 4: front door 5: bus depot  explanation: own homesomeone use a persona,own home
"context: the cat kept pestering it's owner, it was that time of the day and it was what?  options: 1: litter tray 2: whiskers 3: hungry 4: feline 5: thirsty  explanation: TO STIMULATE THE HUNGRY",hungry
context: animals who have hair and don't lay eggs are what?  options: 1: reproduce asexually 2: males 3: mammals 4: attack 5: ocean  explanation: mammals Animals who have hair and don't lay eggs,mammals
"context: some food can be stored at room temperature until you open it, then you should keep it in what?  options: 1: shop 2: bookcase 3: shelf 4: refrigerators 5: kitchen  explanation: refrigerators stored at room temperature",refrigerators
context: how is riding a bike getting it to move?  options: 1: practice 2: sense of balance 3: driving 4: good balance 5: pedalling  explanation: pedalling riding a bike getting it to move,pedalling
"context: the bell rang, and the congregation began to what in to the church?  options: 1: run away 2: wind instrument 3: funnel 4: blunderbuss 5: associated with telephones  explanation: funnel is a tube pipe that is wide",funnel
"context: james needed smooth sandpaper, but instead he got what type?  options: 1: rough 2: non smooth 3: uneven 4: plastic 5: bumpy  explanation: But received rough paper",rough
context: where would you borrow furniture if you do not have any?  options: 1: sewer 2: neighbor's house 3: apartment 4: room 5: floor  explanation: Do we say 'Our neighbor's house,neighbor's house
context: what must happen for an animal to and it's offspring to continue livng?  options: 1: death 2: flying 3: reproducing 4: food consumed 5: eventually die  explanation: animal to and it's offspring to continue livng reproducing,reproducing
"context: if i want to open a steakhouse, what should i get first?  options: 1: michigan 2: florida 3: wine 4: texas 5: building  explanation: building should I get first",building
"context: sarah didn't like to play but she didn't want to be sedentary and bored, either, so she took up what?  options: 1: serious 2: longplay 3: musical 4: eat cake 5: doing nothing  explanation: London Musicals - Musical Tickets",musical
context: joe found spiders while checking something outside.  what might that be?  options: 1: cupboard 2: closet 3: storage bag 4: mail box 5: garage  explanation: mail box in outside,mail box
context: most items in retail stores are what even when they are on sale?  options: 1: overpriced 2: purchase 3: expensive 4: park 5: buying  explanation: retail stores are on sale overpriced,overpriced
context: john farms anemone in what type of facility?  options: 1: michigan 2: swimming pool 3: atlantic ocean 4: nursery 5: gulf of mexico  explanation: Top Plant Nurseries in Gandhipuram,nursery
context: where is the large area location of the empire state building?  options: 1: manhattan 2: office 3: the city 4: fifth avenue 5: new york city  explanation: new york citys the large area location of the empire,new york city
context: where do most people make coffee?  options: 1: coffee shop 2: office 3: table 4: washing 5: kitchen  explanation: house room area kitchen,kitchen
context: what kind of service is my body a part of when i'm no longer here?  options: 1: bodycam 2: home 3: coffin 4: funeral 5: graveyard  explanation: We generally go to funeral when someone dies.,funeral
"context: the coach decided to make a lineup change, the team's effort was suffering from what?  options: 1: stagnant 2: stagnation 3: tradition 4: hunger 5: paper money  explanation: Stagnation occurs when things don't change",stagnation
context: what is it called when a person with mental illness is able to lead a relatively normal life?  options: 1: managed 2: effectively treated 3: recur 4: cause delusion 5: illusion  explanation: People having mental problems may manage to live normally.,managed
context: where do you keep musical instrument so it doesn't get scratched?  options: 1: bank 2: orchestra 3: case 4: music room 5: movie  explanation: case contains instrument,case
"context: a beaver is know for building prowess, their supplies come from where?  options: 1: british columbia 2: body of water 3: wooded area 4: pay debts 5: zoo  explanation: Wooden area is only the place for the beaver supplies.",wooded area
context: zane doesn't like answering questions.  he's not good at it because he suffers from what?  options: 1: panic 2: discussion 3: attention 4: confusion 5: satisfaction  explanation: Confusion makes you forget things,confusion
context: if it is chrismas time what came most recently before?  options: 1: halloween 2: summer 3: easter 4: kwaanza 5: give gift  explanation: the chrismas time was halloween,halloween
"context: the criminal insisted he must do the crime to the bank teller, but she tried to convince him there were other ways in life and this was what?  options: 1: willing 2: optional 3: should not 4: have to 5: unnecessary  explanation: Synonyms and Antonyms of unnecessary",unnecessary
"context: he walked into the room and had a great shock, his friends had what him?  options: 1: expected 2: wanting 3: calm 4: thundershock 5: surprised  explanation: surprised walked into the room and had a great shock",surprised
"context: if you were lost you might need a map, the best place to find one on the road is at any what?  options: 1: truck stop 2: amusement park 3: atlas 4: mall 5: gas station  explanation: gas station have a map",gas station
context: where would you put a net if you wanted to use it?  options: 1: sports 2: fishing gear 3: soccer game 4: fishing boat 5: badminton  explanation: NET IN FISHING BOAT,fishing boat
context: sage loved communicating  he liked doing what with his peers?  options: 1: exchanging ideas 2: confusion 3: peer pressure 4: response 5: learning  explanation: exchanging ideas confusion,exchanging ideas
context: what is a place that has large cable hanging overhead?  options: 1: radio shack 2: electrical device 3: shower 4: substation 5: television  explanation: substation a place that has large cable hanging overhead,substation
context: where do cars usually travel at very high speeds?  options: 1: freeway 2: road 3: race track 4: alley 5: parking lot  explanation: race meant to drive at high speed,race track
context: what might a person be watching if they see a man with a suitcase full of money?  options: 1: baggage compartment 2: movie 3: subway 4: airplane 5: cargo hold  explanation: Chennai Movie Tickets Online Booking,movie
context: what will you do if you do not want to settle in one place?  options: 1: walk 2: agitate 3: wander 4: remove 5: disturb  explanation: i don't want to settle in wander,wander
context: where would a person live that isn't in the metro area but still has good schools?  options: 1: woods 2: bed 3: suburbs 4: rural 5: neighborhood  explanation: Suburbs is a residential area,suburbs
context: where would i not want a fox?  options: 1: hen house 2: english hunt 3: mountains 4: outside bedroom window 5: england  explanation: hen house would I not want a fox,hen house
context: what type of building has the most top floor?  options: 1: go down 2: apartment building 3: tall building 4: office building 5: cabin  explanation: Tall buildings that achieve significant,tall building
context: what do humans do to other humans after death?  options: 1: celebrate 2: burial 3: life 4: rebirth 5: decomposition  explanation: We bury humans after their death,burial
"context: a patriotic guy with a camera is looking for a bald eagle, what is he likely to do with the eagle if he finds one?  options: 1: city 2: canada 3: minnesota 4: thermal 5: photograph  explanation: photograph A patriotic guy with a camera is looking for a bald eagle",photograph
context: where would you get a shower curtain if you do not have one?  options: 1: department store 2: restaurant 3: hotel 4: dime store 5: bathtub  explanation: department store bathtub,department store
context: according to what book did an apple tree lead to the downfall of man?  options: 1: bible 2: spain 3: harry potter 4: new york 5: woods  explanation: List of biblical names starting with C - Wikipedia,bible
"context: the neighborhood had a great sense of community, there was always a crowd at the landing of the what?  options: 1: stairwell 2: arena 3: ocean 4: airport 5: apartment building  explanation: apartment building always a crowd at the landing",apartment building
context: where do most people turn to get information on their phones?  options: 1: internet 2: book 3: online 4: google 5: manual  explanation: Google - Information Technology Company,google
context: what type of non-vegetarian soup is one likely to find a potato?  options: 1: beef stew 2: own kitchen 3: clam chowder 4: kitchen cabinet 5: pantry  explanation: calm chowder is the likely to find a potato,clam chowder
"context: they had a theory of what they could do in t he big game, so over and over they would what?  options: 1: park 2: practice 3: fact 4: practical 5: practise  explanation: student might practice the violin",practice
context: where would you keep a rug near your front door?  options: 1: persia 2: desk 3: table 4: living room 5: hall  explanation: living room keep a rug near your front door,living room
context: when you slip from a ladder propped on anything what will you do?  options: 1: obesity 2: fall down 3: matter to 4: whatever 5: surprise  explanation: i fell down when i slip from a ladder,fall down
context: what do you do when you need to get food?  options: 1: table 2: disneyland 3: refrigerators 4: pantry 5: shop  explanation: shop need to get food,shop
"context: brad tried to arise from bed but he could not.  instead, he just continued to do what?  options: 1: go down 2: fall down 3: lie down 4: lie to himself 5: sit down  explanation: By the waters of Babylon we lay down ...",lie down
"context: if a heifer is really high quality, you might take her where?  options: 1: home 2: dairy farm 3: cattle show 4: dairy barn 5: corral  explanation: cattle show home",cattle show
context: what do people want to acquire from opening business?  options: 1: home 2: wealth 3: bankruptcy 4: lose money 5: get rich  explanation: only wealth is gained from hard work,wealth
"context: bill wanted to pick up a stranger, preferably a responsible one with kids.  where might he look for one?  options: 1: bus station 2: paradise 3: train station 4: park 5: sea  explanation: children playing park",park
context: what might i place under the furniture?  options: 1: rug 2: room 3: toy 4: friend's house 5: building  explanation: rug might I place under the furniture,rug
context: everybody began performing once their director stated what?  options: 1: fear 2: injury 3: happiness 4: action 5: cut  explanation: director said only action,action
context: how can i store cooked steak?  options: 1: oven 2: freezer 3: plate 4: tupperware 5: grill  explanation: Small Deep Freezer manufacturer,freezer
"context: the audience cheered when a goal was scored, what were they spectating?  options: 1: school 2: sporting event 3: concert hall 4: show 5: television  explanation: Goals are scored during watching sporting events",sporting event
"context: everybody seemed to be crying at the holy site, the tour guide explained that this was what?  options: 1: profane 2: halibut 3: damaged 4: common 5: halibut  explanation: common Everybody seemed to be crying at the holy site, the tour guide",common
context: where is a public monument likely to be erected by a city?  options: 1: municipal park 2: office 3: state park 4: cemetary 5: public gardens  explanation: municipal park monument likely to be erected,municipal park
context: where would a person live if they wanted no neighbors?  options: 1: housing estate 2: neighborhood 3: mars 4: woods 5: suburbs  explanation: neighbours are good,woods
context: where are the most famous bbq steakhouses in america?  options: 1: texas 2: building 3: kansas city 4: maine 5: falling down  explanation: Things To Do in Texas USA,texas
"context: he kept plugging away in his cubicle, it seemed he was the only person not called into the what?  options: 1: building 2: conference 3: assessment 4: demonstration 5: garage  explanation: conference kept plugging away in his cubicle, it seemed he was the only person not called",conference
