source_text,target_text
"context: the pioneer went to the general store for storage measures, what was he looking for?  options: 1: checkers 2: barrels 3: baking soda 4: buffalo 5: salt  explanation: This is where a thing would be kept",barrels
"context: the detective was finding information from witnesses, why would he do that?  options: 1: fun 2: ulcers 3: get answers 4: happiness 5: power  explanation: witness is used to get solve case",get answers
"context: the baby was cranky, it needed to eat breakfast but refused to what?  options: 1: buy food 2: open mouth 3: get out of bed 4: cry 5: wake up  explanation: baby always refuse to eat",open mouth
"context: when you get an f, you fail. if you get a's you are?  options: 1: passed 2: completing 3: passed 4: passing 5: succeeding  explanation: Scoring A's is sure pass.",passing
context: where would you be concerned about finding a cavity?  options: 1: solid object 2: molar 3: dentist 4: unbrushed tooth 5: teeth  explanation: cavity were found in teeth,teeth
context: what kind of path do comets tend to have?  options: 1: ice 2: set orbits 3: universe 4: space 5: solid nucleus  explanation: moves around in a fixed path,set orbits
"context: the vet found malignant tumors on the animals, what is their likely fate?  options: 1: euthanasia 2: pass water 3: die of cancer 4: feel pain 5: feel pleasure  explanation: Signs that death is near",die of cancer
"context: the company sent off many purchases, they used recycled cardboard as their what?  options: 1: packaging materials 2: recycle bin 3: box factory 4: warehouse 5: bowler hats  explanation: recycled materials are used for packaging",packaging materials
"context: the child was politely waiting for dessert, he was eventually rewarded for his what?  options: 1: timing 2: expenditure of time 3: getting bored 4: anger 5: patience  explanation: ability to endure difficult circumstances",patience
context: jim decided to lose weight.  he thought that exercise is the best way to lose weight because you can't get rid of what?  options: 1: need for food 2: fitness 3: sweating 4: fastfood 5: thirst  explanation: Physiology of weight reduction: To lose weight you must burn more calories than you eat,need for food
context: what could go to a tennis court?  options: 1: desert 2: college campus 3: recreational center 4: athletic club 5: park  explanation: it make life sportiveness,athletic club
context: where would you put a dollar if you want to go to a store and buy something with it?  options: 1: cash drawer 2: teh bank 3: safety deposit box 4: pocket 5: piggy bank  explanation: dollar is kept in wallet,pocket
context: what do people usually feel when falling in love?  options: 1: getting married 2: pain 3: happiness 4: getting married 5: suffering  explanation: love makes life beautiful.,happiness
context: how does a planet usually move around the sun?  options: 1: writing 2: universe 3: outer space 4: outerspace 5: orbit  explanation: is the gravitationally curved trajectory of the planet,orbit
"context: they needed grape juice for their party, they went to buy it and other snacks at the what?  options: 1: field 2: restaurant 3: salad 4: market 5: food store  explanation: grape is afood",food store
"context: a person with digestion issues eats a meat-filled breakfast, what does he feel?  options: 1: heartburn 2: overeating 3: happiness 4: being satisfied 5: gain energy  explanation: a meat is tasty",heartburn
context: david watched some nesting birds using his binoculars while on vacation.  where might david be?.  options: 1: sky 2: vaccation 3: forest 4: countryside 5: roof  explanation: large area of forest,forest
context: Where can you put a picture frame when it's not hung vertically?  options: 1: art show 2: wall 3: newspaper 4: car 5: table  explanation: Pictures sit on tables when they aren't hung,table
context: What would not be true about a basketball if it had a hole in it but it did not lose its general shape?  options: 1: punctured 2: popular in america 3: full of air 4: gone 5: round  explanation: Air cannot stay in any object that has a hole in it.,full of air
