source_text,target_text
context: in order to learn to program from another person you can do what?  options: 1: learn how to 2: have a friend 3: knowledge 4: take class 5: have computer  explanation: Rivers flow trough valleys.,take class
"context: he was at the gym trying to build muscle, what is it called that he is trying to build muscle on?  options: 1: body of animal 2: arm 3: bodybuilder 4: body of dog 5: human body  explanation: Explore Human Anatomy, Physiology",human body
"context: the man was going fishing instead of work, what is he seeking?  options: 1: food 2: relaxation 3: killing 4: missing morning cartoons 5: boredom  explanation: Rivers flow trough valleys.",relaxation
context: where would you find a large dining room containing a fancy chandelier?  options: 1: mansion 2: every house 3: own home 4: table 5: restaurant  explanation: Executive Mansion-Liberia - Home | Facebook,mansion
"context: the carpet was smelly and discouraged the league from playing there, where was this smelly carpet installed?  options: 1: bedroom 2: movie theater 3: bowling alley 4: church 5: office  explanation: This word is Most relavant",bowling alley
context: how can someone be let into a brownstone?  options: 1: brooklyn 2: ring 3: subdivision 4: bricks 5: new york city  explanation: monitoring what's important from,ring
context: where would someone purchase an upright piano?  options: 1: music class 2: college 3: music store 4: music room 5: music band  explanation: A piano plays music,music store
context: diving into backyard pools can be very dangerous and can lead to serious head and what?  options: 1: going somewhere 2: splats 3: cancer 4: getting wet 5: spinal injuries  explanation: This word is Most relavant,spinal injuries
context: where would one find a snake in a cage?  options: 1: tropical forest 2: oregon 3: woods 4: pet store 5: louisiana  explanation: united kingdome greater manchester,pet store
context: where are people likely to become impatient?  options: 1: end of line 2: buildings 3: apartment 4: neighbor's house 5: address  explanation: PASSION WILL BE EXPLOSED,end of line
"context: when you fail to finish something, you failed at doing what to it  options: 1: winning 2: passing 3: completing 4: do well 5: succeeding  explanation: This word was most relevant.",completing
"context: when you get together with friends to watch film, you might do plenty of this?  options: 1: see what happens 2: enjoy stories 3: pass time 4: have fun 5: interesting  explanation: When the working day is done",have fun
"context: i'm having some food at my party, what will i need to serve it?  options: 1: zoo 2: pan 3: bowl 4: kitchen 5: spoon  explanation: This word is Most relavant",spoon
context: before racers start to run they must do what at the starting line?  options: 1: learn to walk 2: walking 3: walk slowly 4: breathe 5: stand still  explanation: Rivers flow trough valleys.,stand still
context: what does an actor do when they are bored of their roles?  options: 1: mask 2: branch out 3: wear costume 4: pretend 5: sing songs  explanation: Rivers flow trough valleys.,branch out
context: what is a person called who doesn't have immortality?  options: 1: mortal 2: dying 3: death 4: dead 5: mortal  explanation: immortality is relevant,mortal
context: why would you be watching tv instead of doing something else?  options: 1: headache 2: laughter 3: laziness 4: erections 5: wasting time  explanation: This word was most relevant.,laziness
"context: where do you find the most amount of leafs?  options: 1: floral arrangement 2: ground 3: forrest 4: field 5: compost pile  explanation: was an American singer,",forrest
context: where can children play with animals?  options: 1: meadow 2: play room 3: surface of earth 4: zoos 5: fairgrounds  explanation: THIS IS BETTER ANSWER,fairgrounds
context: what could suddenly stop someone when he or she is running?  options: 1: mushroom 2: falling down 3: sweating 4: exhaustion 5: getting tired  explanation: reviews & Metacritic score,falling down
"context: if you take the risk buying a used car, you still hope it can what?  options: 1: go fast 2: start running 3: going too fast 4: look good 5: last several years  explanation: This word was most relevant.",last several years
"context: dan was ditting quietly on the couch with a book in his hand.  laurie thought that he was just focused on what he was doing, but he actually did what?  options: 1: eat 2: think 3: reading 4: meditate 5: fall asleep  explanation: This word was most relevant.",fall asleep
context: what is the primary purpose of cars?  options: 1: cost money 2: slow down 3: move people 4: turn right 5: get girls  explanation: you know that focusing,move people
"context: alabama is full of different people, but they are all citizens of what?  options: 1: united states 2: deep south 3: floribama 4: gulf states 5: florabama  explanation: This word was most relevant.",united states
context: they were hoping their campaign would create a rise in awareness of the problem and hopefully do what to its effect?  options: 1: set 2: fall 3: park 4: descend 5: reduce  explanation: returned value is assigned to the accumulator,reduce
context: what do airplanes do as they are arriving at the gate?  options: 1: slow down 2: crash 3: speed up 4: land 5: carry people  explanation: Rivers flow trough valleys.,slow down
context: the gimmicky low brow tv show was about animals when they what?  options: 1: sick 2: mammals 3: males 4: bite 5: attack  explanation: the attack are displayed in the show,attack
"context: a loud machine is irritating, but many are expected where?  options: 1: museum 2: house 3: laboratory 4: library 5: industrial area  explanation: Coimbatore Industrial Park",industrial area
context: what part of a table would you put a ruler in?  options: 1: drawer 2: desk 3: the backside 4: office 5: measure distance  explanation: open and close and is used,drawer
context: what happens if someone kisses too long?  options: 1: strong feelings 2: herpes 3: shortness of breath 4: excitement 5: arousal  explanation: Rivers flow trough valleys.,shortness of breath
"context: the person saw the mess his children made, what was his following reaction?  options: 1: smell smoke 2: cross street 3: cry 4: bank savings 5: look angry  explanation: Rivers flow trough valleys.",look angry
context: a bald eagle is likely to be found on what kind of work?  options: 1: rural area 2: book 3: canada 4: painting 5: aviary  explanation: Rivers flow trough valleys.,painting
context: what is likely to happen to someone who is learning?  options: 1: overconfidence 2: effectiveness 3: knowing more 4: head grows larger 5: growth  explanation: This word is Most relavant,knowing more
"context: the inspector was agreeing with the factory protocols, what was the status of the factory?  options: 1: compliance 2: eligible 3: contract 4: harmony 5: friendship  explanation: Rivers flow trough valleys.",compliance
"context: the dad wanted to protect his house, where did he put his gun?  options: 1: police station 2: crime scene 3: restroom 4: drawer 5: holster  explanation: it is safe",drawer
context: what instrument can be played with an air of happiness?  options: 1: jump up and down 2: jump up and down 3: sing 4: play games 5: fiddle  explanation: THIS IS BETTER ANSWER,fiddle
context: what animal has quills all over it?  options: 1: feather 2: chicken 3: calligraphy 4: porcupine 5: hedgehog  explanation: Rivers flow trough valleys.,hedgehog
context: when is the worst time for having food?  options: 1: digesting 2: not hungry 3: gas 4: weight gain 5: feeling of fullness  explanation: SLEEPING TIME WAS NOT HUNGRY,not hungry
context: if you spend all your time buying and not saving what is is likely to happen?  options: 1: using money 2: feel better 3: ocean 4: losing money 5: go broke  explanation: i likely happen in marriage party,go broke
context: what is performing a type of?  options: 1: singing 2: act 3: feat 4: smile 5: acting  explanation: Fibernet largest wired broadband,act
context: writers with a great what can amass a large fortune?  options: 1: cookie 2: bank 3: real estate 4: imagination 5: bank roll  explanation: the act or power,imagination
context: how are the conditions for someone who is living in a homeless shelter?  options: 1: sometimes bad 2: happy 3: respiration 4: growing older 5: death  explanation: This word was most relevant,sometimes bad
context: you can do knitting to get the feeling of what?  options: 1: relaxation 2: arthritis 3: adrenaline 4: your 5: sweater may produced  explanation: This option is better to this task.,relaxation
context: what might a very large table be?  options: 1: dining room 2: conference 3: kitchen 4: in a lake 5: demonstration  explanation: About Us - AllThingsD,conference
"context: a car was hailed to chauffeur someone to the opera house, where was it heading?  options: 1: go downtown 2: appear suddenly 3: go fast 4: bottom out 5: east  explanation: Students do everything",go downtown
context: the teacher thought that a ferret can be very mischievous and probably wouldn't make a great pet for the entire what?  options: 1: bad mood 2: hutch 3: classroom 4: pair of trousers 5: year  explanation: Rivers flow trough valleys.,classroom
context: a creek is a body of water found in what low land?  options: 1: forest 2: valley 3: outdoors 4: countryside 5: woods  explanation: Rivers flow trough valleys.,valley
"context: if i have a pet bird, what does it likely live in?  options: 1: forest 2: bathroom 3: windowsill 4: countryside 5: cage  explanation: F]CAGE Questionnaire - US P",cage
context: what makes someone a nomad?  options: 1: unpleasant things 2: hangnail 3: have no home 4: have no car 5: schizophrenia  explanation: Have no idea,have no home
context: women used to be expected to wear a dress but it's now acceptable for them to wear what?  options: 1: man suit 2: pants 3: naked 4: action 5: long skirt  explanation: This word was most relevant.,pants
"context: the painter started to edge the room with tape, he always took extra care to make the lines clean and crisp when working with an what?  options: 1: triangle 2: middle 3: corner 4: center 5: interior  explanation: This word was most relevant.",interior
"context: after high tide, where on the coast can you look to find a sea anemone?  options: 1: nursery 2: museum 3: gulf of mexico 4: tide pool 5: intertidal zone  explanation: artificial pool which cost too much as like as sea",tide pool
context: minerals can be obtained in what way for a person who avoids leafy greens?  options: 1: multivitamin 2: farm 3: michigan 4: earth 5: ore  explanation: This word is Most relavant,multivitamin
"context: if a person is working a lot, what are they likely trying to earn?  options: 1: much money 2: own house 3: creativity 4: new car 5: caregiver  explanation: EveryDollar Budgeting App | EveryDollar.com",much money
"context: the traveling business man was glad his credit card had perks, it offset the high prices for travel from a what?  options: 1: car 2: theatre 3: airport 4: hotel 5: disneyland  explanation: Rivers flow trough valleys.",airport
context: where is one likely to find a brownstone?  options: 1: new york city 2: subdivision 3: ring 4: hazleton 5: live in  explanation: Rivers flow trough valleys.,new york city
"context: the child wasn't allowed in the kitchen but still wanted to help, what could it do to help in the dining room?  options: 1: set table 2: form opinions 3: make honey 4: become adult 5: gather flowers  explanation: Rivers flow trough valleys.",set table
"context: he was having a hard time expressing himself in a healthy way, the psychologist said he was mentally what?  options: 1: slow 2: understood 3: suffering 4: embarrassment 5: fun  explanation: Rivers flow trough valleys.",suffering
context: what has a surface with many sides?  options: 1: tetrahedron 2: object 3: geometry problem 4: lake 5: triangle  explanation: Rivers flow trough valleys.,tetrahedron
context: what could bring a container from one place to another?  options: 1: food 2: refrigerator 3: cargo ship 4: port 5: fuel  explanation: Rivers flow trough valleys.,cargo ship
context: the old style pop ups literally let you see the story when you did what?  options: 1: giggle 2: visualize 3: open book 4: reading 5: go to movies  explanation: literally change things,open book
"context: the family finished dinner, the child's chore was to load the dirty dishes where?  options: 1: restaurant kitchen 2: dishwasher 3: son's room 4: cabinet 5: party  explanation: lot of dish varieties",dishwasher
"context: dad wanted to hide the check in his office, where did he put it?  options: 1: cash register 2: desk drawer 3: fish tank 4: bank 5: pay envelope  explanation: check all answers",desk drawer
context: why do people read non fiction?  options: 1: having fun 2: it's more relatable 3: learn new things 4: becoming absorbed 5: falling asleep  explanation: e-learning for kids,learn new things
context: where are you likely to set papers while working on them?  options: 1: table 2: meeting 3: drawer 4: toilet 5: garage  explanation: Rivers flow trough valleys.,table
"context: john had a massive debt to 50 million dollars.  compared to that, leo's 2000 dollar debt seemed what?  options: 1: dwarf 2: inconsequential 3: insubstantial 4: lame 5: tiny  explanation: Recent Examples on the Web",insubstantial
context: when communicating with my boss what should i do  options: 1: misunderstandings 2: transfer of information 3: learning 4: confusion 5: silence  explanation: Rivers flow trough valleys.,transfer of information
context: during a shark filled tornado where should you not be?  options: 1: marine museum 2: pool hall 3: noodle house 4: bad movie 5: outside  explanation: This word was most relevant.,outside
context: what is a person trying to accomplish when taking analgesics?  options: 1: acceptance 2: avoid pain 3: acknowledgment 4: passing grade 5: intellectual challenge  explanation: ome products combine acetaminophen,avoid pain
"context: when a person admits his mistakes, what are they doing?  options: 1: accident 2: learn to swim 3: thank god 4: feel relieved 5: act responsibly  explanation: mistake some work",act responsibly
context: where do play a game for money?  options: 1: casino 2: football ground 3: ballpark 4: family room 5: toy store  explanation: Rivers flow trough valleys.,casino
context: when you travel you should what in case of unexpected costs?  options: 1: go somewhere 2: energy 3: spend frivilously 4: fly in airplane 5: have money  explanation: unexpected costs is needed for travel,have money
"context: donald is a prominent figure for the federal government, so in what city does he likely spend a lot of time?  options: 1: everything 2: capitol building 3: tourist sites 4: canada 5: washington d.c  explanation: government makes country",washington d.c
context: john and joe like planning games but joe  was hit by a ball and fell down. what might have happened to joe.  options: 1: anger 2: good natured ribbing. 3: enjoying 4: injury 5: enjoyment  explanation: i planning games in summer,injury
context: where is a broadcast studio likely to be heard?  options: 1: microphone 2: arena 3: radio station 4: trees 5: town  explanation: This word was most relevant.,radio station
context: kramer wrote a self-referential book.  what might that book be about?  options: 1: counter 2: coffee table 3: school room 4: backpack 5: bedside table  explanation: This word is Most relavant,coffee table
context: what is the habitat of the fox?  options: 1: hen house 2: burrow 3: california 4: england 5: mountains  explanation: habit is good,mountains
"context: they children loved having a back yard, and the parents loved that it was a safe what?  options: 1: suburb 2: neighborhood 3: back of house 4: roundabout 5: property  explanation: safety is m,ust",neighborhood
"context: when a human is earning money, where are they often found?  options: 1: deep thought 2: park 3: friend's house 4: place of work 5: school  explanation: legal definition of 'places of work'.",place of work
"context: they passed a apple tree on their way to the racetrack, the were going to watch the biggest motorsport spectacle in the world where?  options: 1: maryland 2: indiana 3: on tv 4: park 5: new jersey  explanation: racetrack motorsport in the world",indiana
context: why do people play chess on the weekends?  options: 1: satisfaction 2: have fun 3: thrilling 4: made 5: smart  explanation: This word is Most relavant,have fun
"context: if a person were going to bed, what would be their goal?  options: 1: lazy 2: insomnia 3: rest 4: falling asleep 5: dreaming of  explanation: Rivers flow trough valleys.",falling asleep
context: what are candles good for eliminating?  options: 1: shelf 2: board 3: church 4: table 5: dark  explanation: When two children,dark
context: what room would you find many bookcases and is used for contemplation?  options: 1: study 2: house 3: homw 4: kitchen 5: den  explanation: This option is better to this task.,study
context: what happens at soon as a living being is born?  options: 1: expiration 2: growing older 3: sometimes bad 4: death 5: start reproduction  explanation: humans are to die in living room,growing older
"context: when someone is talking and you missed something, what can you do to get them to repeat it?  options: 1: walking 2: ask question 3: think 4: write question in crayon 5: sneeze  explanation: there are ask questions.",ask question
context: what is happening while he's playing basketball for such a long time?  options: 1: sweating 2: pain 3: having fun 4: medium 5: knee injury  explanation: Common causes of this symptom,sweating
"context: the cancer patient was expecting to die, so he made out his what?  options: 1: not to live 2: write will 3: never want 4: seek help 5: go to hell  explanation: This word is Most relavant",write will
"context: there was a toll road that meandered from maine to new hampshire, where was it?  options: 1: massachusetts 2: new england 3: my house 4: new jersey 5: connecticut  explanation: toll road from Maine to New Hampshire",new england
"context: pens, computers, text books and paper clips can all be found where?  options: 1: desktop 2: university 3: drawer 4: table 5: work  explanation: This option is better to this task.",university
context: what geographic area is a lizard likely to be?  options: 1: ball stopped 2: west texas 3: arid regions 4: garden 5: warm place  explanation: Rivers flow trough valleys.,west texas
context: what happens when to ice when it is in the sun?  options: 1: carved 2: melted 3: ice cream 4: antarctica 5: sculptured  explanation: This word is Most relavant,melted
context: where can you store your dishes in your dwelling?  options: 1: drawer 2: shelf 3: pantry 4: apartment 5: cabinet  explanation: store your dishes in dwelling,shelf
"context: the man laid on the soft moss and looked up at the trees, where was the man?  options: 1: niagra falls 2: forest 3: waterfall 4: ground 5: tree  explanation: Deforestation - Wikipedia",forest
context: surprising an angry person could lead to what?  options: 1: humor 2: fight 3: jocose 4: laughter 5: accidents  explanation: Rivers flow trough valleys.,fight
context: where is a dining area likely to be small?  options: 1: cruise ship 2: home 3: mall 4: restaurant 5: dark cave  explanation: dining is food,home
"context: james slamed into someone playing football, and not for the first time.  he was concerned about the consequences of many what?  options: 1: exhilaration 2: interactions 3: head injuries 4: death 5: having fun  explanation: car park",head injuries
context: where can you get a lizard to keep in your home?  options: 1: desert country 2: dessert 3: pet shop 4: tropical areas 5: zoo  explanation: This word was most relevant.,pet shop
"context: if a reception is held with hotel guests walking by, what is the likely venue?  options: 1: room service 2: church basement 3: lobby 4: large room 5: country club  explanation: Rivers flow trough valleys.",lobby
"context: if a court case is dismissed after hearing testimony, what would be a likely cause?  options: 1: change of heart 2: anguish 3: anger 4: boredom 5: anxiety  explanation: The person may have changed their story",change of heart
"context: john was my neighbor, it was easy to talk to him. he was never what?  options: 1: away 2: distant 3: remote person 4: bore 5: foe  explanation: This word was most relevant.",distant
context: where do people want to have a lot of coffee?  options: 1: table 2: office 3: desk 4: kitchen 5: ocean  explanation: This word is Most relavant,office
"context: dan was a farmer with just one heifer.  but that was okay, he only kept her for milk, and he didn't think he'd find good farmland in a place as cold as where?  options: 1: arizona 2: farm yard 3: michigan 4: german field 5: dairy farm  explanation: my father was a former",michigan
context: john was an aristocratic fox hunter.  where might he live?  options: 1: england 2: new hampshire 3: street 4: arkansas 5: north dakota  explanation: Fox hunting is an activity involving the tracking,new hampshire
context: where is a grape likely to be being fed to someone else?  options: 1: field 2: bathroom 3: michigan 4: minnesota 5: painting  explanation: GRAPES WAS LIKELY PART OF THE PERFORMANCE,painting
context: sam couldn't get back to sleep because of a dream he had.  it was a what?  options: 1: awake 2: horror 3: dreamworker 4: reality 5: nightmare  explanation: Rivers flow trough valleys,nightmare
context: where does one usually keep literature?  options: 1: books and magazines 2: own home 3: kitchen 4: shelf 5: meeting  explanation: Rivers flow trough valleys.,shelf
context: what type of keyboard is made up of one or more pipe divisions?  options: 1: killing 2: typewriter 3: office 4: terminal 5: organ  explanation: Rivers flow trough valleys.,organ
context: what would you do if your date does not show up?  options: 1: wait for 2: bathe 3: go for haircut 4: plan revenge 5: dress nice  explanation: Rivers flow trough valleys.,wait for
context: what did the adult do before the job interview?  options: 1: work 2: dress himself 3: marry 4: dress herself 5: drive train  explanation: Rivers flow trough valleys.,dress himself
context: brawn opened the curtains so that the sun could do what?  options: 1: dry clothes 2: warm house 3: warm room 4: shine brightly 5: get dark  explanation: A cold room during winter,warm room
context: how might releasing energy that has built up feel?  options: 1: damage 2: wonderful 3: exhaustion 4: orgasm 5: lazy  explanation: energy is a source,wonderful
context: what would you do if you have curiosity but are blind and paralyzed?  options: 1: hear news 2: analyse 3: go somewhere 4: examine thing 5: see favorite show  explanation: Rivers flow trough valleys.,analyse
context: a great teacher can be what when you are attending school?  options: 1: detention 2: graduate 3: follower 4: inspiration 5: boredom  explanation: Rivers flow trough valleys.,inspiration
context: where would you get jeans and other wearable items to take home with you?  options: 1: shopping mall 2: museum 3: laundromat 4: clothing store 5: bedroom  explanation: Rivers flow trough valleys.,clothing store
context: in what substance do clouds float?  options: 1: sky 2: top of mountain 3: air 4: ground level 5: outer space  explanation: Rivers flow trough valleys.,air
"context: many people wanted to leave their country estates for row houses, what did they need to move to?  options: 1: living less expensively 2: england 3: prison 4: city 5: town  explanation: This word is Most relavant",city
context: what would you do to a crime scene before asking a question?  options: 1: express information 2: touch everything 3: think 4: give clue 5: analyse  explanation: Analyse | Definition of Analyse at Dictionary.com,analyse
"context: the man didn't do great in college, all his best memories were late night with his brothers at the what?  options: 1: big city 2: fraternity house 3: school 4: building 5: big town  explanation: obviously we will be at home late night",fraternity house
context: in a horror movie victims usually trip when the run in order to do what in regards to the killer?  options: 1: frightened 2: run up stairs 3: get away from 4: go quickly 5: go faster  explanation: Rivers flow trough valleys.,get away from
context: where would you go if you want to buy some clothes?  options: 1: mall 2: grocery store 3: grocery store 4: shop 5: supermarket  explanation: Rivers flow trough valleys.,mall
context: where is food likely to stay dry?  options: 1: etna 2: cupboard 3: oven 4: stomach 5: fridge  explanation: Rivers flow trough valleys.,cupboard
"context: the woman is watching television and trying to forget her day, what is her goal?  options: 1: entertainment 2: falling asleep 3: getting fat 4: crying 5: relaxation  explanation: Rivers flow trough valleys.",relaxation
"context: while john candy and dan aykroyd didn't run into a gazelle, you'd have to go where to see one?  options: 1: eastern hemisphere 2: the city 3: open plain 4: television program 5: great outdoors  explanation: This word was most relevant.",great outdoors
context: when we are running what are we doing?  options: 1: stretches 2: running from police 3: learn to walk 4: go quickly 5: get out of bed  explanation: daphuck is this about,go quickly
context: it's dangerous to let pet birds free so it's better to keep them what?  options: 1: slavery 2: caught 3: caged in 4: topfree 5: prisoner  explanation: Rivers flow trough valleys.,caged in
context: going public about a common problem can gain what for a celebrity?  options: 1: wide acceptance 2: a degree 3: pain 4: getting high 5: press coverage  explanation: People usually support those who suffer.,wide acceptance
"context: the electricity went out and everyone was shrouded in darkness.  they all remained in their seats, because it would have been dangerous to try to find there way out.  where mihgt they have been?  options: 1: opera 2: concert 3: basement 4: bedroom 5: grand canyon  explanation: This word is Most relavant",opera
context: where could you find hundreds of beauty salon?  options: 1: clerk 2: mall 3: strip mall 4: city 5: neighborhood  explanation: city find hundreds of beauty salon,city
"context: if someone found out their brother was having a daughter, they would have to add a niece limb to the what?  options: 1: family picture book 2: family reunion 3: brother's house 4: family tree 5: baby shower  explanation: this word is more relevant",family tree
context: what do you fill with ink to write?  options: 1: squid 2: fountain pen 3: pencil case 4: newspaper 5: printer  explanation: A pen is a,fountain pen
"context: he wasn't the hugging type, even when he meet friend he'd just do what?  options: 1: have sex 2: smile 3: hug each other 4: conversation 5: handshake  explanation: This word was most relevant.",handshake
context: where would a cat snuggle up with their human?  options: 1: floor 2: humane society 3: bed 4: comfortable chair 5: window sill  explanation: a cat is a pet,comfortable chair
context: eating breakfast in bed while seeing a homeless person shivering outside your window may cause you to what?  options: 1: mess 2: hungry 3: feel guilty 4: indigestion 5: spills  explanation: Rivers flow trough valleys.,feel guilty
"context: if i put in my key and open a hinged door, where am i likely entering?  options: 1: kitchen 2: safe 3: own house 4: building 5: pantry  explanation: The spacious rooms and well",own house
"context: if somebody is working at a reception desk, they are located at the front entrance of the what?  options: 1: motel 2: hostel 3: building 4: lobby 5: office park  explanation: reception is entrance",building
context: if you're reading a newspaper from another country what are you doing?  options: 1: learning about world 2: education 3: get angry 4: concern 5: eat cake  explanation: increase my knowledge,learning about world
context: what is it called when a person tends to leave things to the last minute?  options: 1: procrastinate 2: complete collection 3: headache 4: good time management 5: have to hold  explanation: The number of people trying to register to vote.,procrastinate
"context: jane works for the government as a senator, where does she spend a lot of time?  options: 1: capitol building 2: everything 3: washington d.c 4: russia 5: canada  explanation: This option is better to this task.",capitol building
context: what is it called when two people in love have children?  options: 1: take oath 2: procreate 3: matrimony 4: please parents 5: live life  explanation: powerful and intuitive digital illustration,procreate
context: what did the policemen do when they heard a cry from a distance?  options: 1: run away 2: hurry along 3: fine motorists 4: direct traffic 5: help  explanation: cry is an expression,help
"context: it takes ambition to complete a job, but the first step is to what?  options: 1: take care of proposals 2: begin work 3: in charge of project 4: eat cake 5: go to school  explanation: BEGIN WORK WITHOUT REPLICATION (IDS, ESQL/C) - IBM",begin work
context: where can you find a restaurant's phone number?  options: 1: yellow pages 2: town 3: business sector 4: town 5: at hotel  explanation: easy to find there,yellow pages
context: what would you put coins into to make it work?  options: 1: stove 2: water fountain 3: desk 4: purse 5: jar  explanation: A bubbler also called a drinking,water fountain
context: where can you go to use a piano in your neighborhood if you don't have one?  options: 1: music school 2: music store 3: neighbor's house 4: lunch 5: drawing room  explanation: This word is Most relavant,neighbor's house
context: kissing is normally an activity reserved for your romantic what?  options: 1: anus 2: partner 3: arousal 4: trust 5: cooperation  explanation: a person or organization,partner
context: what does a child learn to do before school?  options: 1: count to ten 2: state name 3: dress herself 4: clean room 5: socialize  explanation: many wondering how much they actually,dress herself
"context: he was getting advice for the job interview, they told him when talking to the interviewer always make what?  options: 1: get tired of 2: small talk 3: eye contact 4: friendship 5: social life  explanation: This word is Most relavant",eye contact
context: what might a kind person do?  options: 1: cross street 2: talk to themselves 3: open doors 4: throw away 5: study greek  explanation: Christian Persecution Today,open doors
context: john saw a fox running along the beach and was glad to be on the east coast.  where might he have been?  options: 1: tennessee 2: south carolina 3: louisiana 4: oklahoma 5: mountains  explanation: Beaches are typical found in east coast areas.,south carolina
context: name a location where you would not want to find mice.  options: 1: loft 2: attic 3: bell cat 4: countryside 5: laboratory  explanation: Location is a important for routing,attic
"context: the man started to learn jogging, what was he hoping to do?  options: 1: exhaustion 2: getting in shape 3: fitness 4: injure himself 5: fatigue  explanation: A Beginner's Guide to Getting",getting in shape
context: what happens to a body after death?  options: 1: rebirth 2: human experience 3: sadness 4: decomposition 5: obesity  explanation: its a natural thing,decomposition
"context: though she had a disability, what did her encouraging and positive coach see in her?  options: 1: qualification 2: strength 3: pity 4: competence 5: potential  explanation: necessary conditions exist",potential
"context: when you see something rise, you are where in relation to it?  options: 1: sun set 2: near 3: fall 4: below 5: lower  explanation: i see something in party",below
"context: they were getting ready for a really long hike, he put the food can in his what?  options: 1: cabinet 2: house 3: recycling center 4: backpack 5: make person sick  explanation: Rivers flow trough valleys.",backpack
context: what has someone who had finished their undergraduate done?  options: 1: graduated 2: masters 3: postgraduate 4: phd 5: professor  explanation: It does not strictly imply that,graduated
context: where are bus stops more common in what parts?  options: 1: ocean 2: getting off of bus 3: airport 4: urban area 5: towns  explanation: this word is more relevant,urban area
context: where might a lemur frolic in the market?  options: 1: desert 2: hole 3: india 4: cage 5: rain forest  explanation: Lemurs are hunted for food.,india
